step	QPS
0	167073.12604064593
1	168206.13182009585
2	165801.1163290799
3	161916.60779567712
4	168872.53342781565
5	163687.18266930484
6	168024.19629444167
7	163355.675945147
8	166342.28174611044
9	162776.8636095501
10	160787.54887679216
11	161619.0013794804
12	159548.397404198
13	144778.94678706542
14	155179.0682531226
15	158050.7730511687
16	166350.85826696703
17	164127.86488802626
18	165270.62383759418
19	166018.99936668779
20	155913.96730281695
21	154000.22764239582
22	137061.5915507686
23	141619.0810620999
24	158879.3642255666
25	148793.8074476652
26	143492.6325944831
27	157721.51422737478
28	154018.88926425876
29	154007.01316345076
30	123681.27104699783
31	132812.6761366155
32	136328.75145046008
33	137436.1528530516
34	135439.06329718872
35	145667.92620582352
36	153877.06135925892
37	155594.1194582423
38	147557.90717964593
39	157808.1532065391
40	144479.71781305116
41	150490.9798068229
42	154899.40024226668
43	141650.64741204045
44	135379.60996455984
45	121805.28249284874
46	106406.61428749014
47	128108.29467048256
48	128793.16592049426
49	114075.77846860152
50	115397.42369300016
51	89028.92487428813
52	118791.55208011759
53	112774.96652487914
54	119779.07873318673
55	168121.1795687848
56	154583.69728263473
57	167134.37522414466
58	161827.89766304116
59	164277.00249491812
60	114130.41052949516
61	113556.60362033582
62	116792.31465367212
63	99947.1943419786
64	113145.2032770346
65	109708.35491245416
66	75638.462093342
67	100476.57034167703
68	107910.94004867732
69	110009.91433802122
70	91100.51172448545
71	88947.55146877942
72	97478.25258377664
73	97013.11918287289
74	102745.15952026339
75	141900.8051965627
76	149972.2532109042
77	144598.26384340116
78	148714.14490245996
79	150713.77238623623
80	141902.24543858285
81	143901.73945860637
82	147230.55321538894
83	138194.18269040683
84	120930.46857880958
85	142462.30660801928
86	143921.98442845428
87	141759.803159453
88	144986.13847696083
89	144500.1257480285
90	146117.54049817106
91	136864.35617394937
92	145257.78444254352
93	146158.78370137542
94	134692.70836678462
95	137774.74115730278
96	140710.20964100363
97	143123.4409923052
98	140542.3590238476
99	140449.64739446947
100	136653.43889486202
101	138558.0305968399
102	136817.47900914008
103	137506.44207379044
104	138145.93529942626
105	130218.25655545828
106	122910.72768192049
107	114425.89318841528
108	128257.9406215503
109	130225.53402881272
110	141817.8006647439
111	134267.99793842816
112	130744.72959872319
113	146651.42217793394
114	140287.57872626506
115	115500.0647127991
116	98398.9396018815
117	141975.25598713718
118	125452.88679250926
119	140876.56896036328
120	115054.91732227306
121	99629.30323926164
122	117689.92047948012
123	112737.98516288571
124	116571.91137397027
125	106319.76253425231
126	108875.65608792487
127	110309.65468269205
128	104862.3188043462
129	96782.99474816093
130	134109.15322954537
131	145180.3546519074
132	140144.14354210868
133	145836.0801657835
134	144581.8151734408
135	94998.21070226538
136	88791.07665666763
137	73993.45150728237
138	101467.32306799076
139	105955.83220076088
140	96975.21230575729
141	96534.40371195522
142	100970.24554646124
143	97309.31633211764
144	84327.11078942871
145	91752.98055257804
146	89191.73983587697
147	81633.16783411412
148	88021.13697270368
149	93460.55287915183
