step	QPS
0	247985.57365418156
1	250201.5664799537
2	189175.47301716168
3	248047.1693091967
4	227490.14226595
5	231889.64754664825
6	214326.43321052444
7	204691.05798183585
8	232245.3183313215
9	184430.67641665824
10	222241.86258457985
11	196047.7323399223
12	212852.64803199156
13	220523.03389099782
14	213088.38920105266
15	220628.59337110154
16	233171.04085478734
17	231037.66621498056
18	216469.03385631708
19	229204.45479086746
20	213697.45201836218
21	202581.2995368112
22	215895.20010294687
23	220613.50725857355
24	220774.91959722288
25	186295.93767488963
26	205956.4939847778
27	182106.88560747827
28	206950.34341201547
29	197600.32412772893
30	148086.69893691767
31	147033.3938624843
32	147087.5342355264
33	143320.04114087333
34	149400.65968041832
35	197022.0541606971
36	163439.06354723568
37	199287.4824792721
38	202839.94022603842
39	159231.00869367147
40	182601.60123989428
41	160392.80770319156
42	185459.83542406381
43	186546.16616260452
44	173151.63499605752
45	123575.59544152829
46	115240.79569183427
47	122526.1817193904
48	122019.66602664805
49	128197.17827713524
50	105216.38788267993
51	102205.86873565346
52	103492.02275968595
53	108420.010494834
54	115194.26981629027
55	185069.49530961816
56	174761.2103232473
57	180525.18087794128
58	177938.87559605628
59	174793.98392211937
60	98452.29376748728
61	103198.17337217541
62	105757.33048913632
63	92790.8463619731
64	103281.2696223883
65	88938.6867969338
66	84007.38666634621
67	92480.4755542032
68	91282.52003325455
69	86998.72021173548
70	80959.86658225111
71	80272.22445503436
72	80858.26153843188
73	74502.75590481248
74	79811.08559185125
75	153319.63767427238
76	143641.0398665749
77	137655.36797332423
78	141981.0231777207
79	147071.5457873403
80	133138.56008735593
81	146286.22449157538
82	145884.77538016334
83	147110.23348637208
84	148933.81909083808
85	143622.34922287244
86	143599.73021367216
87	133967.36977935635
88	119597.37897132037
89	145399.7857640562
90	131089.2054582164
91	137455.52027108957
92	131811.37945663958
93	137807.33342094888
94	134604.09559599875
95	125305.21887986329
96	111888.08801011562
97	119896.86301189734
98	127533.34813107556
99	126974.30122272778
100	107679.88991466332
101	123142.03759758314
102	120717.45987888834
103	122804.9258949119
104	126638.46643901173
105	100120.164133608
106	96650.9664396125
107	97839.79603024089
108	93528.91069238487
109	91384.94588982746
110	102355.26954773182
111	122466.43658426913
112	105903.12863747346
113	116399.48159639449
114	116160.28625314681
115	107972.33184283621
116	90661.97466231187
117	114331.38433441005
118	99627.41004135401
119	96626.9190364732
120	77801.67760460914
121	80956.42875617166
122	81875.38431206433
123	85839.26667389787
124	85586.51283704644
125	80927.21901825457
126	80308.95837601552
127	80254.86823197601
128	74456.73070948891
129	79168.43307316981
130	108949.18670677286
131	108598.82968256435
132	99813.28605594755
133	104525.99129262415
134	106073.73537608684
135	74009.38019430907
136	66702.24710166822
137	73147.06656877226
138	71046.54786909682
139	73003.83616578364
140	62828.29674856422
141	63700.72246631807
142	57848.55920082643
143	63351.271993487106
144	63511.857261616875
145	58092.28996394772
146	55088.54375307831
147	56443.33198761943
148	53354.161233900464
149	55385.11920010352
150	120621.2955640233
151	116343.94703044862
